service_id,date,exception_type
1559,20171003,2
1559,20171031,2
1560,20170125,2
1560,20170126,2
1560,20170130,2
1560,20170131,2
1560,20170201,2
1560,20170202,2
1560,20170206,2
1560,20170207,2
1560,20170208,2
1560,20170209,2
1560,20170213,2
1560,20170214,2
1560,20170215,2
1560,20170216,2
1560,20170220,2
1561,20170126,2
1561,20170130,2
1561,20170131,2
1561,20170201,2
1561,20170202,2
1561,20170206,2
1561,20170207,2
1561,20170208,2
1561,20170209,2
1561,20170213,2
1561,20170214,2
1561,20170215,2
1561,20170216,2
1561,20170220,2
1562,20170212,2
1562,20170416,2
1562,20170430,2
1562,20170604,2
1563,20170212,2
1563,20170413,2
1563,20170414,1
1563,20170416,2
1563,20170430,2
1563,20170524,2
1563,20170604,2
1563,20171002,2
1563,20171030,2
1564,20170125,2
1564,20170212,2
